namespace,nombre,patrón,vista,archivo:línea,categoría,plantilla,kwargs,selenium,pruebas
async_notification,api-emailtemplate-list,/async_notification/objapi/^email_template/$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-emailtemplate-list,/async_notification/objapi/^email_template\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-emailtemplate-detail-template,/async_notification/objapi/^email_template/detail_template/$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-emailtemplate-detail-template,/async_notification/objapi/^email_template/detail_template\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-emailtemplate-detail,/async_notification/objapi/^email_template/(?P<pk>[^/.]+)/$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-emailtemplate-detail,/async_notification/objapi/^email_template/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-emailtemplate-get-values-for-update,/async_notification/objapi/^email_template/(?P<pk>[^/.]+)/get_values_for_update/$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-emailtemplate-get-values-for-update,/async_notification/objapi/^email_template/(?P<pk>[^/.]+)/get_values_for_update\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-emailtemplate-preview,/async_notification/objapi/^email_template/(?P<pk>[^/.]+)/preview/$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-emailtemplate-preview,/async_notification/objapi/^email_template/(?P<pk>[^/.]+)/preview\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.EmailTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newslettertemplate-list,/async_notification/objapi/^newsletter_template/$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-newslettertemplate-list,/async_notification/objapi/^newsletter_template\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-newslettertemplate-detail-template,/async_notification/objapi/^newsletter_template/detail_template/$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-newslettertemplate-detail-template,/async_notification/objapi/^newsletter_template/detail_template\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-newslettertemplate-detail,/async_notification/objapi/^newsletter_template/(?P<pk>[^/.]+)/$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newslettertemplate-detail,/async_notification/objapi/^newsletter_template/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newslettertemplate-get-values-for-update,/async_notification/objapi/^newsletter_template/(?P<pk>[^/.]+)/get_values_for_update/$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
